n59989,cDW_2000Q+OneBit,circuit8,gap0.01,graph8
Time,
a,b,valid,frequency
105,235,False,1
211,153,False,1
147,223,False,1
129,219,False,1
167,227,False,1
253,65,False,1
217,125,False,2
237,155,False,2
255,121,False,1
73,223,False,2
137,239,False,1
65,239,False,2
153,125,False,1
217,147,False,1
239,89,False,4
199,187,False,1
229,251,False,3
221,253,False,1
73,55,False,1
27,69,False,1
193,223,False,4
239,73,False,9
145,127,False,2
239,187,False,4
251,69,False,2
239,123,False,3
89,125,False,1
235,61,False,1
105,207,False,1
105,255,False,3
105,239,False,6
101,143,False,1
191,19,False,1
145,251,False,1
227,143,False,1
73,127,False,6
1,31,False,1
101,239,False,1
233,99,False,1
157,127,False,1
235,117,False,1
227,255,False,4
239,255,False,1
171,215,False,1
139,251,False,3
151,251,False,2
171,255,False,4
217,187,False,2
241,217,False,1
35,235,False,1
89,127,False,3
131,235,False,1
47,143,False,1
65,189,False,1
143,255,False,1
211,247,False,1
219,39,False,1
255,165,False,1
255,129,False,6
1,251,False,3
117,207,False,1
139,127,False,3
239,85,False,1
179,77,False,1
19,63,False,1
255,107,False,3
255,195,False,3
191,207,False,1
3,95,False,1
201,251,False,4
91,95,False,1
191,169,False,1
3,191,False,2
217,183,False,3
235,103,False,1
81,187,False,2
75,63,False,1
253,97,False,1
79,163,False,1
247,73,False,1
205,187,False,1
185,85,False,1
233,119,False,1
233,191,False,4
235,71,False,1
255,25,False,1
155,103,False,1
65,127,False,2
223,65,False,1
121,123,False,1
73,239,False,6
11,123,False,1
67,95,False,2
235,201,False,1
255,177,False,1
123,111,False,2
235,73,False,1
83,127,False,1
223,171,False,2
231,193,False,1
155,255,False,1
191,79,False,2
171,231,False,1
141,221,False,1
237,219,False,1
191,193,False,1
89,47,False,1
195,189,False,1
151,253,False,1
135,155,False,1
219,255,False,4
91,111,False,4
187,243,False,1
195,191,False,1
99,79,False,1
255,57,False,1
197,123,False,1
251,203,False,2
211,251,False,1
239,197,False,3
43,239,False,1
247,171,False,1
89,253,False,4
143,251,False,2
255,67,False,2
225,203,False,1
243,83,False,2
121,223,False,2
251,117,False,1
129,123,False,1
175,193,False,1
1,159,False,1
215,107,False,1
97,159,False,1
227,175,False,1
233,125,False,1
105,251,False,3
209,247,False,2
185,83,False,1
251,197,False,1
245,227,False,1
255,153,False,1
233,211,False,2
231,169,False,2
235,65,False,1
73,111,False,1
193,215,False,1
239,77,False,1
97,191,False,3
65,187,False,3
221,187,False,2
209,223,False,2
239,79,False,4
175,109,False,1
231,79,False,3
199,125,False,1
139,171,False,1
163,191,False,1
219,109,False,1
175,75,False,1
95,187,False,1
89,95,False,1
255,85,False,3
73,171,False,1
243,231,False,1
35,223,False,1
255,141,False,2
73,175,False,1
171,251,False,1
239,125,False,1
157,155,False,1
25,255,False,7
159,255,False,1
129,243,False,1
251,125,False,1
237,243,False,1
201,83,False,1
255,197,False,1
219,111,False,1
253,149,False,2
207,149,False,1
159,165,False,1
13,251,False,1
219,37,False,1
209,255,False,1
239,157,False,1
239,251,True,2
207,133,False,1
217,243,False,1
65,223,False,2
249,185,False,1
255,49,False,1
179,123,False,1
253,91,False,1
121,175,False,2
215,101,False,1
219,189,False,1
49,189,False,1
81,127,False,2
161,243,False,1
89,109,False,1
41,231,False,1
101,175,False,1
9,127,False,5
65,63,False,1
103,121,False,1
235,121,False,2
67,127,False,4
239,189,False,3
217,223,False,4
253,75,False,1
203,223,False,1
133,251,False,1
67,255,False,2
251,85,False,1
247,97,False,3
167,171,False,1
211,239,False,1
235,123,False,3
159,107,False,1
43,111,False,1
159,177,False,1
251,173,False,1
175,137,False,1
145,159,False,1
233,223,False,4
209,175,False,1
249,181,False,1
199,219,False,1
237,225,False,1
161,251,False,1
113,255,False,2
207,221,False,1
157,151,False,1
9,123,False,1
213,83,False,1
219,177,False,1
3,239,False,1
233,87,False,1
91,173,False,1
233,171,False,1
73,159,False,1
239,253,False,2
251,127,False,1
199,95,False,1
107,211,False,1
223,155,False,1
235,195,False,1
219,115,False,1
169,215,False,1
221,139,False,1
145,191,False,3
89,175,False,3
89,251,False,2
201,171,False,1
119,117,False,1
191,93,False,1
175,155,False,1
195,213,False,1
75,43,False,1
249,115,False,1
41,255,False,1
251,103,False,1
247,153,False,1
191,177,False,1
239,51,False,1
195,247,False,1
217,219,False,1
97,111,False,1
205,159,False,1
121,95,False,1
231,185,False,1
203,243,False,1
171,239,False,1
73,247,False,1
57,119,False,1
165,175,False,1
175,139,False,1
131,95,False,1
135,207,False,1
231,223,False,2
91,255,False,2
33,235,False,1
75,127,False,1
3,255,False,2
239,71,False,1
219,191,False,1
251,155,False,1
219,167,False,1
101,191,False,1
187,125,False,1
1,63,False,2
219,219,False,1
65,175,False,1
245,87,False,1
247,91,False,1
105,159,False,1
223,131,False,1
251,183,False,1
1,127,False,3
235,225,False,1
5,127,False,1
185,223,False,1
233,111,False,2
41,251,False,1
235,207,False,2
141,187,False,1
231,237,False,1
231,107,False,1
175,255,False,1
169,253,False,2
255,93,False,1
157,191,False,1
35,59,False,1
105,143,False,1
239,1,False,1
173,199,False,1
251,143,False,1
201,151,False,1
209,31,False,2
105,127,False,4
35,255,False,2
17,253,False,1
177,67,False,1
79,111,False,1
193,127,False,1
201,245,False,1
213,247,False,1
101,255,False,1
95,191,False,1
255,205,False,1
235,239,False,3
223,187,False,2
107,235,False,1
231,25,False,1
251,109,False,1
255,109,False,1
67,191,False,3
75,187,False,2
239,175,False,1
175,223,False,2
139,189,False,1
127,105,False,1
129,119,False,1
25,191,False,1
27,127,False,2
167,139,False,1
217,189,False,1
169,219,False,1
81,125,False,1
255,235,False,2
143,187,False,1
219,163,False,1
219,235,False,1
255,133,False,3
191,237,False,1
175,175,False,1
81,175,False,1
193,95,False,1
81,239,False,1
223,177,False,1
249,231,False,1
17,159,False,1
65,95,False,1
41,111,False,1
153,231,False,1
197,255,False,1
111,233,False,1
223,233,False,2
175,65,False,1
89,181,False,1
253,219,False,1
255,131,False,4
229,151,False,1
237,139,False,2
217,159,False,1
149,127,False,1
11,255,False,1
97,75,False,1
237,187,False,1
199,203,False,1
173,77,False,1
25,57,False,1
219,59,False,2
235,253,False,1
43,207,False,1
187,153,False,1
91,125,False,1
225,127,False,1
173,107,False,1
165,223,False,1
195,127,False,2
123,191,False,3
105,157,False,1
207,255,False,2
91,237,False,2
225,155,False,2
91,127,False,1
255,41,False,1
255,77,False,6
75,123,False,1
195,253,False,1
249,221,False,1
235,175,False,1
49,253,False,1
235,105,False,1
99,127,False,2
161,127,False,1
123,239,False,1
255,237,False,1
47,223,False,1
219,187,False,2
203,207,False,1
191,153,False,1
107,207,False,1
169,255,False,2
203,123,False,1
205,191,False,1
43,255,False,8
249,111,False,1
127,117,False,1
155,115,False,1
231,227,False,1
179,121,False,1
201,175,False,1
27,191,False,1
167,27,False,1
217,185,False,1
219,69,False,1
37,175,False,1
75,175,False,2
247,141,False,1
231,205,False,2
169,127,False,1
35,239,False,1
169,223,False,1
221,207,False,1
207,107,False,1
203,239,False,1
231,251,False,1
235,107,False,1
173,103,False,1
239,9,False,1
135,127,False,1
255,89,False,5
167,125,False,1
107,239,False,2
81,251,False,2
97,223,False,3
105,191,False,3
147,125,False,1
17,183,False,1
255,201,False,3
227,223,False,1
169,251,False,1
215,223,False,1
255,249,False,1
97,127,False,4
233,95,False,1
207,237,False,1
217,245,False,1
65,151,False,1
89,173,False,1
217,191,False,4
41,175,False,1
229,163,False,1
249,227,False,1
247,137,False,1
1,223,False,1
93,251,False,2
75,207,False,1
239,207,False,1
197,183,False,1
121,77,False,1
121,207,False,1
185,69,False,1
191,91,False,1
3,63,False,1
199,131,False,1
229,203,False,2
147,255,False,3
91,229,False,1
99,155,False,1
123,251,False,1
197,127,False,1
211,79,False,1
41,191,False,1
239,231,False,1
219,203,False,1
159,115,False,1
1,111,False,1
11,171,False,1
131,223,False,1
193,119,False,1
75,251,False,2
15,127,False,1
89,157,False,1
205,251,False,1
109,191,False,1
201,155,False,1
91,183,False,1
251,81,False,1
115,255,False,1
173,255,False,1
95,181,False,1
211,127,False,1
77,255,False,1
239,127,False,2
247,197,False,1
89,183,False,2
147,247,False,1
131,251,False,2
107,127,False,3
255,157,False,3
173,251,False,1
77,191,False,1
95,127,False,1
191,71,False,1
39,255,False,1
173,245,False,1
191,231,False,1
233,189,False,1
33,239,False,1
107,175,False,1
217,123,False,1
49,255,False,1
223,161,False,1
35,111,False,1
175,169,False,1
155,55,False,1
223,203,False,1
251,77,False,1
83,47,False,1
225,247,False,1
175,125,False,1
235,237,False,1
239,141,False,1
255,179,False,1
111,91,False,1
239,211,False,2
59,77,False,1
241,239,False,1
89,63,False,1
5,255,False,1
199,251,False,1
121,239,False,1
255,135,False,1
247,77,False,1
33,255,False,2
215,191,False,1
127,125,False,2
255,91,False,1
243,221,False,1
187,237,False,1
73,187,False,1
25,63,False,2
143,79,False,1
33,127,False,1
251,171,False,1
101,107,False,1
191,67,False,1
205,171,False,1
239,131,False,1
77,123,False,1
31,239,False,1
191,97,False,1
255,13,False,1
231,73,False,1
103,91,False,1
239,13,False,1
163,255,False,1
17,247,False,1
153,61,False,1
147,95,False,1
17,127,False,2
225,235,False,1
227,87,False,1
225,251,False,1
81,155,False,1
223,207,False,1
139,175,False,1
59,255,False,1
67,239,False,1
251,251,False,2
189,223,False,1
91,109,False,2
9,183,False,1
205,223,False,1
207,249,False,1
103,175,False,1
159,75,False,1
193,253,False,1
205,253,False,1
89,93,False,1
121,255,False,1
169,123,False,1
73,95,False,3
209,95,False,1
123,99,False,1
81,119,False,1
105,231,False,1
175,217,False,3
253,113,False,1
235,171,False,1
167,235,False,1
239,249,False,2
251,231,False,1
239,25,False,1
243,111,False,1
31,111,False,1
225,205,False,1
255,219,False,1
65,159,False,1
57,111,False,1
57,247,False,1
25,247,False,2
145,119,False,1
249,219,False,1
1,247,False,1
227,251,False,2
175,59,False,1
213,243,False,1
123,175,False,1
207,189,False,1
201,63,False,1
77,175,False,1
249,169,False,1
197,155,False,1
231,195,False,1
251,115,False,1
107,191,False,1
235,127,False,1
43,247,False,1
179,255,False,1
201,159,False,1
243,239,False,1
97,239,False,1
169,191,False,1
171,31,False,1
235,125,False,1
141,189,False,1
75,239,False,1
99,255,False,1
171,201,False,1
175,249,False,1
251,91,False,1
211,255,False,1
161,219,False,1
231,161,False,1
123,107,False,2
203,215,False,1
255,1,False,1
41,127,False,1
201,189,False,1
97,251,False,1
97,235,False,1
91,235,False,2
39,123,False,1
183,219,False,1
107,91,False,1
173,169,False,1
175,15,False,1
255,33,False,1
243,79,False,1
173,123,False,1
237,189,False,1
121,111,False,2
15,187,False,1
47,127,False,1
191,145,False,1
59,171,False,1
113,123,False,1
175,45,False,1
137,95,False,1
11,247,False,1
99,47,False,1
239,205,False,1
115,143,False,1
251,93,False,1
11,127,False,1
175,153,False,1
175,187,False,1
27,255,False,2
41,253,False,1
239,91,False,1
101,223,False,1
35,115,False,1
11,243,False,1
71,255,False,1
185,115,False,1
243,127,False,1
27,253,False,1
73,107,False,1
255,111,False,1
249,225,False,1
105,119,False,1
177,251,False,1
247,107,False,1
185,123,False,1
255,17,False,1
3,127,False,1
247,41,False,1
247,69,False,1
237,215,False,1
167,123,False,1
221,141,False,1
131,255,False,1
65,123,False,1
121,219,False,1
145,123,False,1
159,109,False,1
191,235,False,1
151,187,False,1
201,219,False,1
105,123,False,1
197,219,False,1
137,125,False,1
223,185,False,1
137,63,False,1
251,111,False,1
99,239,False,2
255,185,False,1
75,95,False,1
247,125,False,1
237,183,False,1
255,9,False,1
253,77,False,1
255,123,False,1
11,239,False,1
255,29,False,1
79,255,False,1
9,247,False,1
255,101,False,1
105,223,False,2
133,191,False,1
109,159,False,1
81,245,False,1
81,111,False,1
89,119,False,1
235,95,False,1
11,187,False,1
95,255,False,1
107,95,False,1
247,75,False,1
9,63,False,1
233,127,False,1
111,251,False,1
215,95,False,1
217,127,False,1
245,119,False,1
165,203,False,1
11,251,False,1
71,219,False,1
11,191,False,1
175,173,False,1
255,253,False,1
211,39,False,1
43,127,False,1
105,111,False,1
127,189,False,1
123,123,False,1
91,123,False,1
247,43,False,1
