Time,131868
a,b,valid,Percentage_of_results
7,47,False,0.1
47,35,False,0.2
47,53,False,0.6
103,47,False,0.1
91,21,False,0.1
15,103,False,0.3
14,119,False,0.2
35,23,False,0.1
15,63,False,0.1
103,39,False,0.1
11,63,False,0.1
45,71,False,0.2
46,23,False,0.2
43,71,False,0.1
14,103,False,0.5
39,107,False,0.2
55,85,False,0.1
63,53,False,0.4
55,43,False,0.1
11,119,False,0.2
95,85,False,0.1
43,39,False,0.1
55,55,False,0.5
39,13,False,0.1
39,39,False,0.3
39,87,False,0.7
55,59,False,0.1
47,7,False,0.4
39,103,False,0.5
111,35,False,0.3
13,23,True,0.1
47,103,False,0.7
47,47,False,0.2
39,67,False,0.1
15,71,False,0.3
109,23,False,0.2
47,71,False,0.9
45,99,False,0.4
39,95,False,0.3
47,45,False,0.4
31,83,False,0.2
46,103,False,0.9
59,87,False,0.1
103,55,False,0.3
43,119,False,0.2
41,119,False,0.1
38,119,False,0.6
42,119,False,0.1
39,75,False,0.1
63,87,False,1.4
111,53,False,0.3
45,119,False,0.3
31,85,False,0.1
47,119,False,2.2
39,31,False,0.1
13,119,False,0.4
45,37,False,0.2
47,99,False,0.2
43,87,False,0.1
47,113,False,0.2
39,119,False,0.7
43,69,False,0.1
47,101,False,0.2
47,115,False,0.4
71,51,False,0.1
99,23,False,0.1
23,119,False,0.3
119,19,False,0.1
45,49,False,0.1
23,23,False,0.1
46,87,False,0.1
39,111,False,0.2
42,125,False,0.1
63,37,False,0.1
22,39,False,0.1
15,115,False,0.2
15,87,False,0.5
15,7,False,0.1
63,35,False,0.1
71,91,False,0.1
102,55,False,0.3
31,103,False,0.2
7,127,False,0.4
15,55,False,0.2
87,83,False,0.1
55,61,False,0.1
95,23,False,0.1
39,127,False,0.3
7,87,False,0.1
54,127,False,0.1
127,19,False,0.4
62,21,False,0.1
39,45,False,0.1
61,55,False,0.1
63,69,False,0.1
111,49,False,0.2
10,119,False,0.1
46,119,False,1.0
63,23,False,0.1
125,43,False,0.1
46,97,False,0.1
47,55,False,1.5
30,111,False,0.2
38,127,False,0.2
111,87,False,0.8
39,71,False,0.3
87,39,False,0.1
63,63,False,0.2
14,55,False,0.1
47,111,False,0.5
103,86,False,0.1
63,39,False,0.4
71,23,False,0.1
53,123,False,0.1
111,117,False,0.3
46,121,False,0.2
6,71,False,0.1
13,55,False,0.2
102,47,False,0.1
15,31,False,0.1
13,79,False,0.1
45,125,False,0.1
39,3,False,0.1
7,119,False,0.4
107,63,False,0.1
41,95,False,0.1
45,101,False,0.1
111,85,False,0.3
46,63,False,0.3
62,55,False,0.2
45,55,False,0.5
126,19,False,0.1
61,71,False,0.1
54,119,False,0.1
23,83,False,0.2
47,67,False,0.5
39,55,False,0.5
55,115,False,0.2
14,107,False,0.2
53,71,False,0.1
47,117,False,0.6
38,103,False,0.3
95,67,False,0.1
118,55,False,0.1
55,31,False,0.1
44,109,False,0.1
95,39,False,0.1
45,97,False,0.2
4,123,False,0.1
43,55,False,0.2
35,55,False,0.1
31,99,False,0.1
7,63,False,0.1
47,39,False,0.7
63,81,False,0.2
15,119,False,0.5
47,95,False,0.1
47,49,False,0.1
47,97,False,0.2
38,23,False,0.1
119,37,False,0.1
23,39,False,0.1
47,87,False,1.6
47,23,False,0.6
31,51,False,0.1
54,23,False,0.1
63,116,False,0.1
119,118,False,0.1
55,83,False,0.3
37,119,False,0.1
55,71,False,0.3
47,37,False,0.3
14,95,False,0.2
57,51,False,0.1
44,103,False,0.1
79,51,False,0.2
55,47,False,0.1
127,53,False,0.1
61,51,False,0.1
39,23,False,0.4
62,49,False,0.1
111,7,False,0.1
45,83,False,0.1
108,57,False,0.1
35,119,False,0.1
31,87,False,0.1
39,59,False,0.2
39,47,False,0.1
107,55,False,0.2
27,119,False,0.1
45,59,False,0.1
127,55,False,0.4
55,93,False,0.1
45,123,False,0.1
55,53,False,0.2
6,119,False,0.2
21,103,False,0.1
71,83,False,0.1
109,22,False,0.1
111,17,False,0.1
55,23,False,0.2
46,91,False,0.1
47,85,False,0.3
111,21,False,0.2
15,83,False,0.2
111,103,False,0.2
62,85,False,0.2
51,63,False,0.1
15,107,False,0.2
110,51,False,0.2
119,83,False,0.3
14,101,False,0.2
103,71,False,0.1
46,111,False,0.5
39,99,False,0.2
60,37,False,0.1
111,23,False,0.2
53,38,False,0.1
103,31,False,0.1
117,23,False,0.1
29,38,False,0.1
109,55,False,0.3
87,55,False,0.1
102,63,False,0.2
15,79,False,0.1
