Time,145064
a,b,valid,Percentage_of_results
11,27,False,0.1
27,5,False,0.2
9,27,False,0.4
11,1,False,0.1
1,23,False,2.8
5,3,False,1.2
21,5,False,0.9
17,11,False,0.4
21,19,False,1.9
11,17,False,0.1
1,3,False,0.3
7,21,False,1.0
7,1,False,0.6
1,7,False,0.4
1,27,False,0.4
7,17,False,1.4
5,13,False,0.2
17,7,False,0.4
21,7,False,1.0
5,19,False,1.8
5,15,False,1.2
21,17,False,0.2
9,23,False,1.0
13,7,False,1.3
21,3,False,0.7
5,7,False,1.4
5,21,False,1.0
23,17,False,0.4
19,17,False,0.1
3,21,False,0.4
17,29,False,0.3
9,19,False,0.6
18,13,False,0.1
5,27,False,2.2
19,13,False,0.1
15,17,False,1.2
23,9,False,0.5
17,15,False,0.6
17,3,False,0.1
3,9,False,0.2
5,11,False,1.1
13,15,False,0.3
13,5,False,0.4
9,3,False,0.2
7,9,False,0.7
21,21,False,0.4
5,22,False,0.3
5,23,False,3.1
7,5,False,1.2
11,5,False,0.2
3,19,False,0.5
7,19,False,0.8
19,9,False,0.1
13,19,False,0.9
17,19,False,0.4
3,17,False,0.5
15,22,False,0.2
25,19,False,0.3
21,23,False,1.5
11,19,False,0.2
21,15,False,1.0
13,3,False,0.7
9,31,False,0.6
15,21,False,1.4
29,11,False,0.7
15,26,False,0.1
7,29,False,0.2
9,29,False,0.1
9,21,False,0.3
21,22,False,0.2
13,8,False,0.1
21,11,False,1.2
6,17,False,0.3
23,19,False,0.6
31,1,False,0.5
1,19,False,0.2
15,3,False,0.2
15,1,False,0.4
19,7,False,0.1
17,9,False,0.1
3,7,False,0.3
1,5,False,0.2
13,23,True,2.7
1,31,False,1.4
9,6,False,0.1
7,22,False,0.4
15,23,False,0.5
7,3,False,0.2
29,15,False,0.3
13,31,False,1.1
5,18,False,0.1
5,31,False,2.1
29,13,False,0.2
25,9,False,0.1
31,5,False,0.2
15,13,False,0.2
17,23,False,0.3
23,7,False,0.6
3,25,False,0.2
19,23,False,0.2
31,17,False,0.4
13,26,False,0.6
7,23,False,1.0
25,15,False,0.3
3,23,False,0.6
21,31,False,0.9
19,27,False,0.2
23,22,False,0.1
11,21,False,0.3
27,1,False,0.3
17,31,False,0.6
27,17,False,0.3
3,11,False,0.1
3,14,False,0.1
11,22,False,0.2
13,27,False,0.6
29,7,False,0.6
13,18,False,0.4
9,9,False,0.1
29,10,False,0.3
1,26,False,0.1
11,23,False,0.2
6,21,False,0.1
3,29,False,0.5
9,18,False,0.2
21,1,False,0.2
9,15,False,0.3
15,18,False,0.3
15,19,False,0.2
23,21,False,0.5
23,23,False,0.3
25,11,False,0.3
