Time,138503
a,b,valid,Percentage_of_results
27,25,False,0.3
43,25,False,0.2
13,63,False,0.4
59,5,False,0.2
21,7,False,0.1
37,15,False,0.1
45,2,False,0.1
15,21,False,0.2
11,61,False,0.2
41,35,False,0.2
25,23,False,0.5
29,31,False,0.9
1,47,False,0.2
13,7,False,0.3
25,7,False,0.2
1,27,False,0.3
29,19,False,0.4
13,3,False,0.1
25,5,False,0.2
27,13,False,0.3
11,47,False,0.1
27,21,False,0.6
1,63,False,0.5
25,21,False,0.2
11,7,False,0.1
29,11,False,0.3
19,29,False,0.2
27,17,False,0.1
3,61,False,0.1
23,61,False,0.1
25,25,False,0.1
57,19,False,0.1
13,27,False,0.5
41,27,False,0.2
57,5,False,0.1
45,11,False,0.1
11,59,False,0.1
15,13,False,0.1
27,7,False,0.2
31,29,False,0.5
15,34,False,0.1
17,63,False,0.3
23,53,False,0.1
25,31,False,1.0
9,23,False,0.3
11,57,False,0.3
21,25,False,0.1
13,60,False,0.1
13,51,False,0.1
9,43,False,0.1
15,33,False,0.2
27,9,False,0.2
1,30,False,0.2
5,27,False,0.2
61,2,False,0.1
17,31,False,0.4
25,29,False,0.2
51,31,False,0.1
9,63,False,1.0
19,57,False,0.2
9,19,False,0.2
63,21,False,0.5
25,47,False,0.4
11,62,False,0.3
15,5,False,0.1
9,47,False,0.1
26,25,False,0.1
15,28,False,0.1
23,29,False,0.2
27,57,False,0.3
11,17,False,0.2
3,45,False,0.1
29,45,False,0.1
41,37,False,0.1
53,32,False,0.1
27,20,False,0.2
31,21,False,0.4
15,57,False,0.1
25,13,False,0.1
54,9,False,0.1
9,27,False,0.2
1,43,False,0.1
5,59,False,0.1
13,19,False,0.1
25,27,False,0.4
25,11,False,0.2
17,45,False,0.1
11,54,False,0.2
59,11,False,0.2
13,48,False,0.1
43,29,False,0.2
47,22,False,0.2
59,26,False,0.4
15,24,False,0.1
27,29,False,0.6
43,21,False,0.1
27,31,False,1.1
27,53,False,0.1
39,21,False,0.1
27,5,False,0.1
50,25,False,0.1
11,51,False,0.1
63,23,False,0.2
37,42,False,0.1
1,23,False,0.1
61,16,False,0.1
31,43,False,0.1
42,19,False,0.1
55,17,False,0.1
45,29,False,0.1
30,23,False,0.1
27,37,False,0.1
11,19,False,0.1
33,59,False,0.1
29,27,False,0.5
15,61,False,0.1
39,9,False,0.1
15,26,False,0.1
13,31,False,0.3
19,7,False,0.1
13,15,False,0.1
45,26,False,0.1
25,37,False,0.2
41,26,False,0.4
41,24,False,0.1
19,61,False,0.2
45,50,False,0.2
58,21,False,0.2
9,7,False,0.1
25,55,False,0.2
13,54,False,0.1
57,23,False,0.4
29,34,False,0.1
47,27,False,0.1
23,41,False,0.1
29,21,False,0.5
29,39,False,0.2
31,5,False,0.2
49,27,False,0.2
59,17,False,0.3
30,45,False,0.1
61,22,False,0.4
21,11,False,0.1
27,35,False,0.2
15,23,False,0.1
7,49,False,0.1
19,21,False,0.1
26,31,False,0.3
9,31,False,0.2
63,25,False,0.4
59,21,False,0.6
1,15,False,0.1
51,19,False,0.1
43,17,False,0.1
29,23,False,0.3
14,59,False,0.1
9,55,False,0.3
