Time,124749
a,b,valid,Percentage_of_results
13,23,True,0.6
19,9,False,0.8
21,15,False,1.8
9,27,False,2.7
17,11,False,1.4
17,27,False,0.7
1,27,False,1.0
17,15,False,2.4
25,11,False,1.8
27,9,False,1.9
13,31,False,1.3
13,18,False,0.2
19,11,False,0.6
1,23,False,0.1
9,19,False,0.1
9,31,False,1.8
1,11,False,0.7
15,9,False,0.3
5,27,False,0.7
13,15,False,0.3
9,23,False,0.5
11,13,False,0.2
15,21,False,0.2
21,27,False,0.8
25,15,False,1.2
27,11,False,2.1
25,9,False,1.5
13,27,False,0.7
29,11,False,1.1
5,31,False,1.8
23,9,False,0.3
17,9,False,0.9
29,19,False,0.6
25,3,False,0.4
19,25,False,0.4
27,17,False,0.4
1,29,False,0.2
9,25,False,0.8
19,17,False,0.4
25,10,False,0.5
3,13,False,0.1
21,11,False,0.5
31,9,False,0.6
9,30,False,0.4
31,13,False,0.5
1,25,False,0.1
25,13,False,1.3
13,25,False,0.2
25,7,False,0.3
5,23,False,0.3
29,9,False,0.3
3,29,False,0.2
27,8,False,0.2
9,24,False,0.1
5,15,False,0.3
31,5,False,0.3
9,26,False,0.3
1,3,False,0.1
29,3,False,0.2
17,7,False,0.4
31,14,False,0.4
3,23,False,0.1
3,11,False,0.4
1,15,False,0.7
23,11,False,0.2
29,15,False,0.9
3,15,False,0.5
1,31,False,2.0
21,31,False,0.8
15,3,False,0.2
23,13,True,0.3
11,18,False,0.1
13,19,False,0.3
27,5,False,0.1
13,26,False,0.2
11,26,False,0.5
19,13,False,0.8
11,31,False,0.5
9,1,False,0.1
9,11,False,0.9
21,29,False,0.8
25,25,False,1.1
21,7,False,0.2
21,9,False,0.4
7,23,False,0.2
19,21,False,0.2
21,13,False,0.8
11,9,False,0.3
17,13,False,0.7
29,13,False,0.6
19,27,False,0.7
25,29,False,0.6
26,19,False,0.1
29,7,False,0.3
15,11,False,0.5
5,26,False,0.2
29,14,False,0.3
17,17,False,0.1
9,9,False,0.3
7,19,False,0.3
17,31,False,0.8
5,3,False,0.1
16,7,False,0.1
15,5,False,0.1
3,25,False,0.1
7,7,False,0.3
17,25,False,0.4
21,14,False,0.1
11,27,False,1.1
25,14,False,0.5
21,12,False,0.2
5,11,False,0.2
23,15,False,0.3
27,23,False,0.3
19,31,False,0.4
13,7,False,0.2
19,29,False,0.3
13,11,False,0.4
27,29,False,0.3
27,21,False,0.3
31,11,False,0.4
11,25,False,0.2
9,17,False,0.1
9,29,False,0.5
5,21,False,0.1
27,15,False,0.3
27,13,False,1.0
0,27,False,0.2
25,27,False,0.7
29,5,False,0.1
3,28,False,0.1
