Time,161989
a,b,valid,Percentage_of_results
59,17,False,0.3
25,3,False,0.1
17,15,False,0.4
17,41,False,0.1
27,29,False,1.3
3,57,False,0.2
43,21,False,0.3
27,25,False,1.0
25,5,False,0.2
51,7,False,0.1
63,25,False,0.9
25,59,False,0.5
43,15,False,0.2
9,23,False,0.3
57,25,False,0.7
41,23,False,0.7
57,29,False,1.1
57,27,False,1.2
57,23,False,0.5
9,31,False,1.8
25,11,False,0.6
57,11,False,0.6
25,21,False,0.2
59,23,False,0.6
61,3,False,0.1
27,23,False,0.1
41,15,False,0.6
59,9,False,0.9
23,29,False,0.1
43,19,False,0.1
59,29,False,1.3
11,31,False,0.4
63,19,False,0.1
9,63,False,1.2
25,15,False,0.6
59,25,False,2.5
27,27,False,1.5
13,39,False,0.1
9,59,False,0.5
49,23,False,0.1
11,9,False,0.1
3,23,False,0.2
57,31,False,2.3
13,15,False,0.2
15,3,False,0.1
29,59,False,0.1
23,61,False,0.1
9,28,False,0.2
11,59,False,0.5
41,35,False,0.1
25,31,False,1.8
19,61,False,0.4
61,31,False,0.4
59,19,False,0.5
33,59,False,0.1
19,27,False,0.5
9,13,False,0.1
55,25,False,0.3
50,27,False,0.2
1,15,False,0.1
15,35,False,0.1
19,31,False,0.3
27,19,False,0.1
15,13,False,0.2
25,63,False,1.3
43,13,False,0.2
3,29,False,0.2
53,39,False,0.1
25,45,False,0.1
27,63,False,0.3
21,31,False,0.1
59,31,False,0.5
21,29,False,0.1
41,31,False,0.9
27,31,False,1.5
31,25,False,0.4
17,7,False,0.1
57,30,False,0.4
1,63,False,0.5
43,17,False,0.1
3,63,False,0.1
17,31,False,0.7
43,27,False,0.4
53,27,False,0.1
19,63,False,0.3
49,15,False,0.2
53,31,False,0.2
9,15,False,0.3
21,27,False,0.4
25,47,False,0.7
37,11,False,0.1
1,55,False,0.1
37,31,False,0.1
51,29,False,0.7
31,31,False,0.2
1,62,False,0.1
5,63,False,0.1
17,55,False,0.2
23,27,False,0.2
63,5,False,0.1
26,25,False,0.1
55,19,False,0.1
41,59,False,0.4
33,57,False,0.2
61,27,False,0.4
25,23,False,0.8
27,13,False,0.1
17,30,False,0.2
43,57,False,0.2
11,30,False,0.1
25,30,False,0.6
63,11,False,0.2
59,15,False,0.4
43,31,False,0.6
51,11,False,0.1
19,57,False,0.2
33,23,False,0.4
19,49,False,0.1
33,15,False,0.1
49,26,False,0.1
19,60,False,0.1
26,29,False,0.3
31,19,False,0.2
53,11,False,0.2
21,59,False,0.1
33,11,False,0.2
57,19,False,0.4
59,27,False,1.9
13,23,True,0.1
59,21,False,0.6
59,11,False,0.4
57,13,False,0.2
41,29,False,0.6
47,9,False,0.1
9,19,False,0.1
25,27,False,1.0
11,29,False,0.5
63,27,False,0.4
27,26,False,0.1
45,31,False,0.1
19,62,False,0.2
43,30,False,0.1
26,27,False,0.2
49,27,False,0.4
25,19,False,0.3
43,25,False,0.6
47,23,False,0.2
21,26,False,0.1
25,57,False,0.3
41,55,False,0.3
17,27,False,0.3
45,15,False,0.3
25,9,False,0.2
3,39,False,0.1
17,58,False,0.1
43,63,False,0.3
31,29,False,0.2
61,30,False,0.1
43,11,False,0.2
58,25,False,0.1
3,21,False,0.1
11,61,False,0.1
25,29,False,0.5
19,25,False,0.1
63,21,False,0.3
13,13,False,0.1
29,3,False,0.1
57,15,False,0.3
13,55,False,0.1
57,18,False,0.1
11,27,False,0.3
17,63,False,0.7
49,51,False,0.1
59,13,False,0.4
25,54,False,0.2
25,35,False,0.1
29,46,False,0.1
13,29,False,0.1
43,29,False,0.7
37,57,False,0.1
63,9,False,0.3
49,29,False,0.1
17,23,False,0.2
9,53,False,0.1
19,29,False,0.3
35,29,False,0.4
26,11,False,0.1
49,25,False,0.5
47,21,False,0.2
29,11,False,0.2
25,53,False,0.2
47,13,False,0.1
55,23,False,0.1
57,59,False,0.3
29,23,False,0.4
55,21,False,0.1
43,22,False,0.2
17,45,False,0.2
29,1,False,0.1
3,27,False,0.1
1,47,False,0.2
46,13,False,0.1
29,19,False,0.1
27,61,False,0.2
11,11,False,0.2
27,46,False,0.1
33,29,False,0.1
51,26,False,0.1
25,13,False,0.3
51,21,False,0.2
59,37,False,0.1
31,27,False,0.3
35,9,False,0.1
43,26,False,0.1
23,62,False,0.1
25,26,False,0.1
9,29,False,0.4
55,13,False,0.1
25,43,False,0.2
13,7,False,0.1
57,43,False,0.1
35,27,False,0.1
41,63,False,0.1
57,3,False,0.1
45,22,False,0.1
43,43,False,0.1
58,27,False,0.1
21,61,False,0.1
53,23,False,0.2
27,24,False,0.2
17,61,False,0.2
59,55,False,0.1
9,27,False,0.2
29,29,False,0.1
27,11,False,0.3
61,25,False,0.2
51,45,False,0.1
45,21,False,0.2
47,29,False,0.2
29,22,False,0.1
3,47,False,0.1
13,47,False,0.1
17,59,False,0.2
25,41,False,0.2
61,19,False,0.4
13,45,False,0.1
51,33,False,0.1
21,63,False,0.1
41,27,False,0.4
11,63,False,0.3
53,10,False,0.1
19,59,False,0.1
9,45,False,0.1
51,31,False,0.3
27,21,False,0.1
41,21,False,0.1
45,29,False,0.1
33,7,False,0.1
51,27,False,0.3
38,17,False,0.1
41,13,False,0.1
59,20,False,0.2
47,17,False,0.3
45,18,False,0.1
47,19,False,0.1
41,51,False,0.1
30,23,False,0.1
9,61,False,0.3
27,30,False,0.1
41,11,False,0.1
37,63,False,0.1
57,26,False,0.1
63,17,False,0.1
11,51,False,0.1
29,27,False,0.2
12,25,False,0.1
5,23,False,0.1
55,49,False,0.1
29,25,False,0.1
9,7,False,0.2
15,25,False,0.2
31,17,False,0.1
27,15,False,0.2
45,7,False,0.1
45,27,False,0.2
37,47,False,0.1
9,55,False,0.3
43,18,False,0.1
55,9,False,0.1
6,29,False,0.1
57,57,False,0.1
25,46,False,0.2
17,62,False,0.3
