Time,173619
a,b,valid,Percentage_of_results
61,55,False,0.1
31,67,False,0.4
119,15,False,0.1
49,89,False,0.1
57,58,False,0.1
43,95,False,0.1
59,95,False,0.3
13,95,False,0.1
62,99,False,0.1
122,63,False,0.2
59,93,False,0.2
47,77,False,0.1
121,51,False,0.1
50,119,False,0.1
127,43,False,0.2
22,127,False,0.1
63,69,False,0.1
122,23,False,0.4
25,59,False,0.1
89,23,False,0.1
117,23,False,0.2
59,75,False,0.2
59,107,False,0.1
95,19,False,0.5
91,71,False,0.1
11,75,False,0.1
89,43,False,0.1
123,15,False,0.1
63,75,False,0.6
27,71,False,0.1
73,119,False,0.1
125,55,False,0.5
93,18,False,0.1
59,19,False,0.2
125,18,False,0.2
27,59,False,0.1
51,95,False,0.7
31,57,False,0.1
58,23,False,0.2
89,50,False,0.1
23,67,False,0.2
59,73,False,0.1
59,23,False,0.3
91,49,False,0.1
93,11,False,0.1
30,15,False,0.1
40,87,False,0.1
31,83,False,0.2
27,95,False,0.2
19,123,False,0.1
26,91,False,0.1
123,19,False,0.3
127,30,False,0.1
91,23,False,0.1
123,79,False,0.1
55,85,False,0.3
53,119,False,0.1
107,83,False,0.2
63,66,False,0.1
59,91,False,0.4
91,51,False,0.1
62,39,False,0.1
29,99,False,0.1
31,63,False,0.1
94,63,False,0.2
53,127,False,0.2
31,75,False,0.1
53,95,False,0.3
17,75,False,0.1
127,31,False,0.3
89,55,False,0.1
119,23,False,0.2
94,53,False,0.1
27,107,False,0.3
127,85,False,0.3
59,27,False,0.2
91,83,False,0.4
125,23,False,0.2
121,31,False,0.2
63,115,False,0.4
123,57,False,0.1
123,7,False,0.1
127,19,False,0.8
121,87,False,0.1
27,93,False,0.1
58,87,False,0.3
89,19,False,0.1
127,8,False,0.1
63,83,False,0.5
123,86,False,0.1
30,79,False,0.1
127,73,False,0.2
62,67,False,0.1
51,101,False,0.2
123,47,False,0.1
51,31,False,0.3
91,99,False,0.1
91,27,False,0.3
123,27,False,0.3
59,15,False,0.1
47,91,False,0.1
95,67,False,0.4
63,85,False,0.1
115,51,False,0.1
95,27,False,0.6
83,37,False,0.1
9,127,False,0.1
119,87,False,0.3
87,49,False,0.1
57,95,False,0.2
50,31,False,0.1
93,51,False,0.1
54,119,False,0.1
94,31,False,0.2
110,51,False,0.1
27,83,False,0.2
114,31,False,0.1
101,87,False,0.1
59,79,False,0.5
127,27,False,0.3
27,51,False,0.1
63,61,False,0.1
63,71,False,0.5
77,123,False,0.1
101,27,False,0.1
57,61,False,0.1
126,19,False,0.2
59,66,False,0.1
123,13,False,0.1
17,119,False,0.1
52,11,False,0.1
121,95,False,0.2
91,91,False,0.1
105,53,False,0.1
127,55,False,0.3
59,63,False,0.2
51,83,False,0.1
51,119,False,0.1
25,83,False,0.1
123,63,False,0.1
90,63,False,0.2
47,81,False,0.1
50,127,False,0.3
50,63,False,0.2
83,115,False,0.1
103,113,False,0.1
55,69,False,0.1
95,71,False,0.2
55,95,False,0.2
49,59,False,0.1
119,5,False,0.1
55,49,False,0.1
30,63,False,0.1
119,103,False,0.1
54,95,False,0.1
63,19,False,0.3
83,51,False,0.1
29,83,False,0.2
62,89,False,0.1
115,19,False,0.1
39,83,False,0.1
61,27,False,0.2
123,17,False,0.3
113,31,False,0.1
123,81,False,0.1
121,23,False,0.3
22,119,False,0.2
119,21,False,0.2
59,77,False,0.1
121,27,False,0.1
21,95,False,0.1
121,79,False,0.1
26,127,False,0.2
17,123,False,0.1
87,65,False,0.4
95,21,False,0.2
47,87,False,0.1
103,87,False,0.1
59,119,False,0.1
115,95,False,0.2
63,54,False,0.1
57,117,False,0.1
45,119,False,0.1
95,51,False,0.3
95,59,False,0.2
57,115,False,0.2
31,117,False,0.1
127,45,False,0.1
123,49,False,0.3
123,31,False,0.4
19,75,False,0.1
115,113,False,0.1
62,69,False,0.3
127,23,False,0.4
95,23,False,0.3
63,67,False,0.3
59,103,False,0.1
63,47,False,0.2
55,27,False,0.1
79,50,False,0.1
123,21,False,0.1
26,55,False,0.1
115,63,False,0.2
62,85,False,0.1
87,91,False,0.1
126,7,False,0.1
25,79,False,0.1
55,21,False,0.1
103,75,False,0.1
53,63,False,0.1
94,11,False,0.1
26,51,False,0.1
117,114,False,0.1
45,87,False,0.1
125,15,False,0.1
127,35,False,0.4
125,43,False,0.1
27,11,False,0.1
44,127,False,0.1
61,85,False,0.1
94,29,False,0.1
31,79,False,0.1
83,83,False,0.1
30,123,False,0.1
43,55,False,0.1
17,127,False,0.1
59,59,False,0.3
37,63,False,0.1
83,57,False,0.1
118,55,False,0.1
59,125,False,0.1
119,53,False,0.2
62,29,False,0.1
123,54,False,0.2
90,23,False,0.1
58,51,False,0.1
58,31,False,0.2
95,55,False,0.1
58,115,False,0.1
119,45,False,0.1
63,43,False,0.2
59,71,False,0.2
27,87,False,0.3
94,51,False,0.2
86,43,False,0.1
57,87,False,0.1
125,21,False,0.2
95,83,False,0.2
63,78,False,0.1
127,49,False,0.2
58,63,False,0.1
127,65,False,0.3
59,69,False,0.1
61,65,False,0.1
59,122,False,0.1
55,47,False,0.2
115,66,False,0.1
25,95,False,0.2
122,87,False,0.1
106,87,False,0.1
80,23,False,0.1
29,87,False,0.1
110,95,False,0.1
33,94,False,0.1
47,65,False,0.1
125,86,False,0.1
122,81,False,0.1
124,55,False,0.1
43,71,False,0.1
125,54,False,0.1
95,26,False,0.1
41,90,False,0.1
119,19,False,0.2
31,119,False,0.1
41,114,False,0.1
123,59,False,0.7
87,67,False,0.1
29,123,False,0.1
119,26,False,0.1
17,107,False,0.1
63,87,False,0.2
63,84,False,0.1
93,83,False,0.2
89,83,False,0.2
31,31,False,0.1
91,113,False,0.1
61,123,False,0.1
123,23,False,0.3
53,73,False,0.1
89,51,False,0.1
94,59,False,0.3
123,87,False,0.1
59,90,False,0.1
59,29,False,0.1
109,87,False,0.1
95,29,False,0.1
30,91,False,0.2
93,71,False,0.1
80,59,False,0.1
87,27,False,0.1
93,27,False,0.2
31,99,False,0.1
116,127,False,0.1
59,123,False,0.1
91,18,False,0.1
106,31,False,0.1
123,45,False,0.2
31,35,False,0.1
63,79,False,0.2
127,7,False,0.3
59,51,False,0.1
101,97,False,0.1
95,43,False,0.1
61,89,False,0.1
95,53,False,0.1
127,9,False,0.1
55,67,False,0.3
25,115,False,0.1
127,53,False,0.4
91,87,False,0.2
55,3,False,0.1
127,5,False,0.1
59,87,False,0.4
95,11,False,0.3
113,59,False,0.1
53,23,False,0.1
121,83,False,0.2
127,11,False,0.2
94,61,False,0.1
14,49,False,0.1
19,55,False,0.1
55,87,False,0.1
119,63,False,0.1
59,47,False,0.1
127,87,False,0.1
55,79,False,0.2
51,89,False,0.1
