Time,159984
a,b,valid,Percentage_of_results
55,21,False,0.1
43,21,False,0.2
59,61,False,0.2
119,5,False,0.1
27,53,False,0.1
15,83,False,0.1
11,29,False,0.2
79,69,False,0.1
87,61,False,0.1
3,53,False,0.2
59,25,False,0.1
89,62,False,0.1
5,118,False,0.1
25,52,False,0.2
15,5,False,0.1
43,29,False,0.2
43,95,False,0.4
7,61,False,0.1
49,47,False,0.1
87,45,False,0.1
89,49,False,0.1
43,25,False,0.1
6,119,False,0.1
95,83,False,0.1
25,63,False,0.5
33,67,False,0.1
27,55,False,0.2
11,53,False,0.2
75,87,False,0.3
95,53,False,0.2
87,57,False,0.1
91,45,False,0.1
23,26,False,0.1
49,29,False,0.1
59,54,False,0.2
43,93,False,0.1
29,95,False,0.1
127,33,False,0.1
41,117,False,0.1
21,115,False,0.1
111,35,False,0.1
89,46,False,0.1
77,23,False,0.1
25,79,False,0.2
59,93,False,0.1
27,51,False,0.2
126,31,False,0.1
19,63,False,0.1
23,15,False,0.1
10,127,False,0.1
123,53,False,0.2
99,15,False,0.2
5,119,False,0.2
91,5,False,0.2
7,121,False,0.1
11,37,False,0.1
37,79,False,0.1
9,127,False,0.1
63,5,False,0.3
41,91,False,0.1
91,21,False,0.3
77,39,False,0.2
58,57,False,0.1
2,35,False,0.1
51,12,False,0.1
122,11,False,0.1
46,55,False,0.1
105,53,False,0.1
75,21,False,0.1
63,83,False,0.2
11,118,False,0.1
90,59,False,0.1
75,63,False,0.1
51,61,False,0.1
11,117,False,0.2
41,103,False,0.1
42,95,False,0.2
67,55,False,0.1
71,95,False,0.1
95,3,False,0.1
91,53,False,0.3
111,59,False,0.1
51,31,False,0.1
29,113,False,0.1
35,119,False,0.2
10,123,False,0.1
39,31,False,0.1
11,71,False,0.2
111,57,False,0.1
35,55,False,0.1
57,122,False,0.1
15,118,False,0.1
27,25,False,0.1
47,73,False,0.1
47,89,False,0.1
25,47,False,0.1
27,49,False,0.1
55,54,False,0.1
45,63,False,0.1
26,113,False,0.1
3,77,False,0.1
27,29,False,0.3
14,119,False,0.1
63,69,False,0.4
13,63,False,0.2
55,63,False,0.1
15,117,False,0.1
3,125,False,0.1
75,39,False,0.1
63,85,False,0.1
47,55,False,0.1
43,45,False,0.1
11,109,False,0.1
3,126,False,0.1
47,22,False,0.1
74,63,False,0.1
115,23,False,0.2
95,43,False,0.1
89,59,False,0.1
46,93,False,0.2
95,11,False,0.1
15,77,False,0.1
31,89,False,0.1
45,103,False,0.1
53,58,False,0.1
91,7,False,0.1
6,113,False,0.1
17,127,False,0.1
42,49,False,0.1
17,6,False,0.1
85,91,False,0.2
53,30,False,0.1
12,125,False,0.1
89,23,False,0.1
57,67,False,0.1
19,55,False,0.1
59,69,False,0.2
34,125,False,0.1
69,51,False,0.1
63,81,False,0.3
9,87,False,0.1
79,13,False,0.1
43,51,False,0.1
5,115,False,0.1
8,19,False,0.1
59,27,False,0.2
29,6,False,0.1
77,1,False,0.1
45,75,False,0.3
55,31,False,0.1
51,15,False,0.1
51,89,False,0.1
23,83,False,0.2
11,61,False,0.1
27,71,False,0.2
63,19,False,0.3
59,63,False,0.3
43,85,False,0.3
31,55,False,0.2
47,81,False,0.1
99,59,False,0.1
7,119,False,0.1
29,77,False,0.1
43,127,False,0.4
121,55,False,0.1
47,71,False,0.1
115,25,False,0.2
107,29,False,0.2
24,61,False,0.1
15,25,False,0.1
61,93,False,0.2
57,57,False,0.1
31,85,False,0.2
11,111,False,0.1
111,21,False,0.2
59,45,False,0.1
18,39,False,0.1
23,53,False,0.1
43,118,False,0.2
106,17,False,0.1
43,117,False,0.2
78,53,False,0.1
17,29,False,0.1
73,95,False,0.2
117,38,False,0.1
123,3,False,0.2
11,35,False,0.1
39,57,False,0.1
7,21,False,0.1
43,73,False,0.1
61,107,False,0.1
95,16,False,0.2
39,93,False,0.2
29,63,False,0.1
127,13,False,0.1
9,31,False,0.1
30,23,False,0.1
11,77,False,0.2
47,83,False,0.2
29,91,False,0.1
11,75,False,0.1
23,117,False,0.1
91,27,False,0.1
23,61,False,0.1
25,23,False,0.2
71,55,False,0.1
115,63,False,0.2
59,59,False,0.1
47,93,False,0.2
27,11,False,0.1
15,55,False,0.1
11,87,False,0.3
63,23,False,0.2
45,55,False,0.2
29,54,False,0.1
91,43,False,0.1
23,45,False,0.1
27,31,False,0.1
18,63,False,0.2
75,117,False,0.1
106,7,False,0.1
31,27,False,0.1
42,93,False,0.1
27,125,False,0.1
107,95,False,0.1
57,51,False,0.1
14,55,False,0.1
91,63,False,0.2
61,63,False,0.2
45,93,False,0.2
41,31,False,0.1
43,89,False,0.1
73,79,False,0.2
119,34,False,0.1
27,27,False,0.1
105,63,False,0.1
61,115,False,0.1
57,31,False,0.1
41,53,False,0.1
111,85,False,0.1
87,25,False,0.1
69,31,False,0.1
45,81,False,0.1
92,23,False,0.1
31,81,False,0.1
59,29,False,0.3
53,94,False,0.1
77,11,False,0.1
59,5,False,0.2
9,19,False,0.1
43,69,False,0.1
78,119,False,0.1
45,112,False,0.1
24,57,False,0.1
11,79,False,0.1
27,83,False,0.1
61,7,False,0.1
43,75,False,0.1
93,7,False,0.2
29,29,False,0.1
105,75,False,0.1
11,123,False,0.2
11,55,False,0.2
58,55,False,0.1
27,19,False,0.1
43,57,False,0.1
63,93,False,0.2
59,51,False,0.1
11,5,False,0.1
62,63,False,0.1
3,87,False,0.1
29,42,False,0.1
15,65,False,0.1
107,73,False,0.1
15,36,False,0.1
115,15,False,0.1
41,119,False,0.2
61,29,False,0.1
123,22,False,0.1
94,19,False,0.1
39,59,False,0.1
47,7,False,0.1
58,61,False,0.2
29,53,False,0.1
27,93,False,0.2
13,79,False,0.1
75,83,False,0.1
53,107,False,0.1
73,55,False,0.1
117,19,False,0.1
74,117,False,0.1
15,89,False,0.1
51,121,False,0.1
57,7,False,0.1
91,23,False,0.2
19,93,False,0.1
52,95,False,0.1
85,63,False,0.1
29,87,False,0.1
46,25,False,0.1
23,21,False,0.1
46,113,False,0.1
58,19,False,0.1
27,21,False,0.3
111,45,False,0.1
63,65,False,0.2
85,43,False,0.1
79,77,False,0.1
49,105,False,0.1
44,63,False,0.1
88,59,False,0.1
43,13,False,0.1
19,115,False,0.1
7,99,False,0.1
15,75,False,0.1
59,83,False,0.1
120,31,False,0.1
13,51,False,0.1
55,5,False,0.1
127,55,False,0.1
123,39,False,0.1
11,23,False,0.1
63,7,False,0.1
123,7,False,0.1
57,25,False,0.1
3,51,False,0.1
75,57,False,0.1
23,127,False,0.2
27,13,False,0.1
39,83,False,0.1
33,59,False,0.1
95,51,False,0.1
89,19,False,0.1
95,52,False,0.2
79,23,False,0.1
31,79,False,0.1
95,81,False,0.1
47,39,False,0.1
57,61,False,0.1
79,93,False,0.1
59,71,False,0.1
60,67,False,0.1
123,52,False,0.1
122,23,False,0.1
59,19,False,0.2
10,55,False,0.2
18,95,False,0.1
63,33,False,0.1
103,43,False,0.1
55,81,False,0.1
31,91,False,0.1
63,113,False,0.1
51,51,False,0.1
91,57,False,0.1
61,67,False,0.2
43,79,False,0.1
107,13,False,0.1
57,19,False,0.1
2,115,False,0.1
38,101,False,0.1
91,15,False,0.1
13,19,False,0.1
123,83,False,0.1
78,99,False,0.1
31,53,False,0.2
115,42,False,0.1
55,18,False,0.1
119,23,False,0.1
40,103,False,0.1
63,57,False,0.1
12,1,False,0.1
39,95,False,0.3
40,119,False,0.1
43,81,False,0.3
61,119,False,0.1
63,67,False,0.3
10,101,False,0.1
31,70,False,0.1
83,7,False,0.1
101,23,False,0.1
89,15,False,0.1
29,55,False,0.2
39,85,False,0.1
57,53,False,0.1
49,63,False,0.1
67,63,False,0.3
47,111,False,0.1
115,26,False,0.1
63,107,False,0.1
95,77,False,0.1
13,95,False,0.1
39,119,False,0.1
39,63,False,0.1
45,95,False,0.1
21,126,False,0.1
31,93,False,0.2
63,109,False,0.1
83,31,False,0.1
38,127,False,0.2
31,23,False,0.3
35,93,False,0.1
127,45,False,0.1
73,115,False,0.1
53,15,False,0.1
59,6,False,0.1
47,49,False,0.1
7,125,False,0.1
95,49,False,0.1
81,63,False,0.1
13,87,False,0.1
3,95,False,0.1
43,55,False,0.1
89,103,False,0.1
103,49,False,0.1
110,41,False,0.1
26,121,False,0.1
26,47,False,0.1
31,29,False,0.1
50,13,False,0.1
111,7,False,0.1
57,127,False,0.4
59,31,False,0.1
58,95,False,0.2
79,53,False,0.2
91,28,False,0.1
63,36,False,0.1
45,77,False,0.1
111,83,False,0.1
110,87,False,0.1
45,15,False,0.2
41,83,False,0.1
3,55,False,0.1
27,59,False,0.1
43,105,False,0.1
57,59,False,0.1
22,115,False,0.1
67,91,False,0.1
27,124,False,0.1
44,89,False,0.1
47,13,False,0.1
121,81,False,0.1
41,111,False,0.1
63,71,False,0.1
55,45,False,0.1
59,11,False,0.1
87,17,False,0.1
42,79,False,0.1
57,3,False,0.1
