Time,156625
a,b,valid,Percentage_of_results
91,5,False,0.1
113,43,False,0.1
21,59,False,0.1
45,63,False,0.2
42,47,False,0.2
55,40,False,0.1
73,43,False,0.4
127,41,False,0.5
27,51,False,0.3
9,31,False,0.1
31,75,False,0.2
75,61,False,0.3
25,59,False,0.1
14,107,False,0.1
11,113,False,0.1
23,16,False,0.1
21,119,False,0.1
27,119,False,0.3
65,57,False,0.1
43,53,False,0.1
7,79,False,0.1
35,49,False,0.1
31,77,False,0.2
19,113,False,0.1
17,91,False,0.2
9,23,False,0.1
1,107,False,0.1
25,63,False,0.1
11,111,False,0.2
19,89,False,0.2
21,95,False,0.2
21,111,False,0.3
10,115,False,0.1
73,63,False,0.2
17,125,False,0.2
9,103,False,0.2
27,115,False,0.4
28,59,False,0.2
33,47,False,0.1
23,121,False,0.3
21,43,False,0.1
57,16,False,0.1
25,25,False,0.1
29,83,False,0.1
95,41,False,0.2
77,45,False,0.1
35,61,False,0.2
31,105,False,0.1
10,47,False,0.1
63,76,False,0.1
29,55,False,0.2
5,125,False,0.1
117,35,False,0.1
75,70,False,0.1
21,63,False,0.1
55,73,False,0.1
71,57,False,0.1
7,93,False,0.1
83,59,False,0.2
7,29,False,0.1
21,65,False,0.1
31,57,False,0.3
119,41,False,0.1
15,111,False,0.3
11,117,False,0.2
53,75,False,0.1
19,117,False,0.1
85,123,False,0.2
27,53,False,0.1
103,45,False,0.1
1,115,False,0.1
22,43,False,0.1
91,27,False,0.3
27,81,False,0.1
39,123,False,0.1
34,47,False,0.1
15,85,False,0.1
81,62,False,0.1
43,47,False,0.2
42,35,False,0.2
95,49,False,0.3
1,47,False,0.2
25,34,False,0.1
83,63,False,0.1
29,115,False,0.1
30,121,False,0.1
23,91,False,0.1
101,7,False,0.1
39,77,False,0.1
31,117,False,0.1
41,47,False,0.1
61,43,False,0.1
27,9,False,0.1
19,125,False,0.6
95,57,False,0.2
127,43,False,0.3
62,9,False,0.1
27,27,False,0.2
27,109,False,0.2
5,63,False,0.2
59,59,False,0.3
62,41,False,0.2
41,50,False,0.1
81,91,False,0.1
43,107,False,0.2
25,125,False,0.1
59,109,False,0.1
19,105,False,0.1
55,75,False,0.1
31,73,False,0.4
3,66,False,0.1
26,53,False,0.1
127,9,False,0.1
21,115,False,0.1
73,47,False,0.1
95,35,False,0.1
30,35,False,0.1
7,99,False,0.1
23,57,False,0.1
31,63,False,0.2
95,73,False,0.1
51,127,False,0.2
31,12,False,0.1
15,123,False,0.1
75,39,False,0.1
13,111,False,0.2
29,63,False,0.4
53,107,False,0.1
95,43,False,0.2
3,119,False,0.2
3,95,False,0.1
91,61,False,0.1
15,41,False,0.1
55,121,False,0.3
27,75,False,0.1
11,123,False,0.2
53,47,False,0.1
49,63,False,0.1
59,33,False,0.1
75,55,False,0.1
86,43,False,0.1
59,89,False,0.1
123,37,False,0.1
123,45,False,0.1
1,95,False,0.1
79,51,False,0.1
35,103,False,0.2
22,95,False,0.2
19,59,False,0.2
93,59,False,0.1
57,11,False,0.1
94,47,False,0.2
29,41,False,0.1
51,61,False,0.1
11,125,False,0.5
62,75,False,0.1
51,27,False,0.1
65,123,False,0.1
21,91,False,0.1
59,7,False,0.1
21,123,False,0.4
27,121,False,0.2
105,50,False,0.1
11,95,False,0.1
9,127,False,0.9
69,83,False,0.1
43,93,False,0.1
63,57,False,0.1
9,95,False,0.1
87,43,False,0.1
63,73,False,0.2
111,41,False,0.1
41,127,False,0.2
17,63,False,0.3
27,59,False,0.2
9,126,False,0.2
37,93,False,0.1
55,13,False,0.1
1,119,False,0.1
51,49,False,0.1
43,111,False,0.1
19,61,False,0.2
33,127,False,0.2
61,27,False,0.2
11,85,False,0.1
31,41,False,0.2
9,55,False,0.2
31,25,False,0.1
5,107,False,0.1
51,89,False,0.1
127,51,False,0.1
31,76,False,0.1
97,59,False,0.1
25,19,False,0.1
17,127,False,0.4
73,62,False,0.1
107,9,False,0.1
59,45,False,0.1
57,27,False,0.1
94,43,False,0.2
27,67,False,0.1
33,79,False,0.1
23,123,False,0.3
59,121,False,0.2
49,51,False,0.1
