Time,136425
a,b,valid,Percentage_of_results
31,117,False,0.4
31,61,False,0.4
27,125,False,1.1
95,125,False,0.2
90,63,False,0.4
14,127,False,0.2
95,41,False,0.4
31,53,False,0.2
25,61,False,0.2
88,29,False,0.1
30,95,False,0.6
23,81,False,0.1
22,125,False,0.3
22,127,False,0.3
25,125,False,0.7
27,61,False,0.5
95,77,False,0.6
19,93,False,0.4
21,101,False,0.1
31,109,False,0.5
23,119,False,0.1
27,126,False,0.2
91,45,False,0.2
23,117,False,0.4
85,93,False,0.2
31,89,False,0.8
29,91,False,0.1
21,111,False,0.2
27,127,False,0.4
91,77,False,1.0
46,125,False,0.1
89,61,False,0.2
31,125,False,1.3
29,127,False,0.6
23,95,False,0.2
31,110,False,0.1
107,61,False,0.1
27,85,False,0.3
31,119,False,0.2
91,61,False,0.4
27,105,False,0.1
94,93,False,0.5
29,61,False,0.2
93,37,False,0.1
26,61,False,0.3
31,73,False,0.2
29,121,False,0.1
87,93,False,0.2
27,45,False,0.4
127,77,False,0.3
127,41,False,0.4
29,112,False,0.1
123,42,False,0.1
127,28,False,0.3
91,105,False,0.2
23,93,False,0.8
25,122,False,0.1
6,127,False,0.1
89,77,False,0.2
58,95,False,0.2
23,125,False,0.6
23,123,False,0.1
53,71,False,0.1
27,117,False,0.8
91,31,False,0.1
31,85,False,0.3
31,51,False,0.1
31,126,False,0.2
109,25,False,0.1
31,121,False,0.7
26,111,False,0.1
21,121,False,0.1
30,61,False,0.2
27,123,False,0.4
31,77,False,0.4
87,61,False,0.2
93,61,False,0.2
95,64,False,0.2
29,125,False,1.0
27,119,False,0.1
95,89,False,0.5
23,77,False,0.2
63,93,False,0.2
25,93,False,0.1
29,109,False,0.3
30,29,False,0.2
95,53,False,0.2
31,93,False,1.6
95,73,False,0.3
127,13,False,0.1
21,127,False,0.1
30,93,False,0.3
30,91,False,0.1
25,94,False,0.1
15,61,False,0.2
29,76,False,0.1
121,93,False,0.1
31,60,False,0.1
10,79,False,0.1
30,127,False,0.8
95,61,False,0.5
11,93,False,0.1
89,29,False,0.1
125,61,False,0.1
95,108,False,0.1
93,127,False,0.2
95,105,False,0.3
119,21,False,0.1
127,8,False,0.1
13,125,False,0.1
79,93,False,0.1
47,84,False,0.1
27,116,False,0.1
94,31,False,0.1
27,77,False,0.3
26,125,False,1.0
95,88,False,0.3
59,73,False,0.1
27,63,False,0.1
87,101,False,0.1
27,93,False,0.5
86,61,False,0.3
30,87,False,0.2
90,95,False,0.2
29,95,False,0.4
63,82,False,0.1
45,111,False,0.1
27,113,False,0.1
27,118,False,0.1
89,91,False,0.1
123,29,False,0.1
95,93,False,0.9
91,73,False,0.2
26,77,False,0.2
90,79,False,0.1
95,85,False,0.5
21,126,False,0.1
95,120,False,0.2
15,117,False,0.1
43,119,False,0.2
15,86,False,0.1
23,60,False,0.1
31,82,False,0.1
91,93,False,0.9
29,123,False,0.1
121,59,False,0.1
26,109,False,0.2
86,127,False,0.2
59,89,False,0.1
95,31,False,0.1
94,109,False,0.2
89,93,False,0.2
25,45,False,0.2
119,25,False,0.1
31,69,False,0.1
87,125,False,0.2
91,108,False,0.1
123,61,False,0.2
15,107,False,0.1
125,25,False,0.1
123,77,False,0.1
90,93,False,0.2
24,125,False,0.3
78,63,False,0.1
27,89,False,0.4
26,93,False,0.5
19,91,False,0.1
95,109,False,0.2
95,33,False,0.1
19,124,False,0.1
30,124,False,0.1
93,75,False,0.1
23,85,False,0.1
63,125,False,0.2
7,91,False,0.1
90,31,False,0.2
59,109,False,0.4
127,37,False,0.1
27,95,False,0.4
90,29,False,0.3
30,125,False,0.5
75,62,False,0.1
30,111,False,0.1
70,63,False,0.1
91,109,False,0.4
29,93,False,0.1
93,109,False,0.1
93,125,False,0.1
123,9,False,0.1
63,45,False,0.1
91,25,False,0.2
15,123,False,0.1
28,47,False,0.1
31,63,False,0.1
95,60,False,0.2
79,109,False,0.1
14,93,False,0.1
90,61,False,0.2
9,127,False,0.1
62,109,False,0.1
27,91,False,0.1
17,92,False,0.1
75,63,False,0.1
89,125,False,0.2
23,109,False,0.2
10,127,False,0.1
93,101,False,0.1
25,127,False,0.3
59,121,False,0.1
55,125,False,0.2
22,93,False,0.1
31,80,False,0.1
93,41,False,0.1
23,73,False,0.1
22,29,False,0.1
31,105,False,0.1
94,77,False,0.1
26,127,False,0.3
91,125,False,0.4
57,123,False,0.1
123,93,False,0.1
27,57,False,0.1
19,125,False,0.2
69,125,False,0.1
91,76,False,0.1
111,45,False,0.2
23,57,False,0.1
94,33,False,0.1
91,59,False,0.2
24,127,False,0.2
127,93,False,0.3
25,63,False,0.2
27,87,False,0.1
46,93,False,0.1
57,125,False,0.1
17,127,False,0.2
123,87,False,0.1
23,126,False,0.2
94,57,False,0.1
27,53,False,0.1
85,31,False,0.1
29,119,False,0.1
31,47,False,0.1
25,95,False,0.3
83,63,False,0.1
121,62,False,0.1
95,21,False,0.2
123,27,False,0.2
9,94,False,0.1
27,103,False,0.1
91,46,False,0.1
23,105,False,0.1
46,127,False,0.1
26,91,False,0.1
91,88,False,0.1
31,81,False,0.1
110,89,False,0.1
63,85,False,0.2
114,31,False,0.1
75,109,False,0.2
91,102,False,0.1
30,85,False,0.1
61,118,False,0.1
90,91,False,0.2
61,93,False,0.1
91,124,False,0.1
60,13,False,0.1
53,123,False,0.1
91,62,False,0.1
27,111,False,0.1
26,87,False,0.1
26,89,False,0.1
95,57,False,0.1
26,63,False,0.1
123,45,False,0.1
27,29,False,0.1
21,125,False,0.3
59,117,False,0.1
91,57,False,0.1
84,29,False,0.1
59,45,False,0.2
71,105,False,0.1
94,15,False,0.1
61,121,False,0.2
31,95,False,0.4
21,123,False,0.1
29,70,False,0.1
62,127,False,0.1
22,120,False,0.1
89,119,False,0.1
31,57,False,0.1
27,10,False,0.1
123,58,False,0.1
95,81,False,0.2
94,125,False,0.4
90,125,False,0.2
27,112,False,0.1
23,63,False,0.1
63,121,False,0.1
119,57,False,0.1
14,85,False,0.1
91,107,False,0.1
26,45,False,0.1
30,109,False,0.2
23,40,False,0.1
58,121,False,0.2
26,59,False,0.1
95,117,False,0.4
13,31,False,0.1
91,121,False,0.4
53,90,False,0.1
90,127,False,0.2
27,121,False,0.1
31,49,False,0.2
86,29,False,0.1
25,109,False,0.1
127,25,False,0.1
91,47,False,0.1
90,57,False,0.1
75,93,False,0.1
19,127,False,0.1
31,91,False,0.2
95,45,False,0.1
47,113,False,0.1
27,108,False,0.1
126,23,False,0.1
31,115,False,0.1
59,124,False,0.2
94,127,False,0.1
126,45,False,0.1
29,111,False,0.2
31,127,False,0.1
27,122,False,0.2
62,29,False,0.1
123,24,False,0.1
93,89,False,0.2
93,93,False,0.1
56,127,False,0.1
23,127,False,0.3
95,24,False,0.1
91,40,False,0.1
27,124,False,0.1
59,125,False,0.3
31,86,False,0.1
29,126,False,0.3
54,123,False,0.1
10,117,False,0.1
127,73,False,0.1
59,61,False,0.1
59,41,False,0.1
91,89,False,0.1
31,28,False,0.2
18,95,False,0.1
77,124,False,0.2
10,93,False,0.1
9,95,False,0.1
82,123,False,0.1
47,109,False,0.1
87,109,False,0.1
30,77,False,0.1
13,127,False,0.1
127,52,False,0.1
24,93,False,0.1
26,49,False,0.1
62,93,False,0.1
63,77,False,0.1
75,117,False,0.1
126,105,False,0.1
27,31,False,0.2
123,28,False,0.1
95,95,False,0.1
29,94,False,0.1
21,122,False,0.1
63,63,False,0.1
86,93,False,0.1
86,109,False,0.1
55,126,False,0.1
94,61,False,0.2
87,57,False,0.1
28,111,False,0.2
27,73,False,0.1
91,52,False,0.1
80,45,False,0.1
87,126,False,0.1
91,87,False,0.1
31,111,False,0.3
43,61,False,0.2
25,108,False,0.1
11,92,False,0.1
63,61,False,0.1
43,127,False,0.1
75,116,False,0.1
91,120,False,0.1
23,124,False,0.2
27,109,False,0.2
21,105,False,0.1
23,61,False,0.1
58,29,False,0.1
23,115,False,0.1
87,90,False,0.1
86,89,False,0.2
58,61,False,0.1
85,95,False,0.1
94,25,False,0.1
87,73,False,0.2
14,117,False,0.1
121,109,False,0.1
111,120,False,0.1
94,83,False,0.1
75,107,False,0.1
86,77,False,0.1
26,124,False,0.2
95,62,False,0.2
119,44,False,0.1
95,68,False,0.1
23,103,False,0.1
55,113,False,0.2
30,101,False,0.1
23,92,False,0.1
59,31,False,0.1
11,61,False,0.1
26,119,False,0.1
94,47,False,0.2
59,91,False,0.1
11,125,False,0.1
75,121,False,0.1
29,79,False,0.1
94,69,False,0.2
46,111,False,0.1
85,88,False,0.1
22,123,False,0.2
91,60,False,0.1
95,72,False,0.1
93,53,False,0.1
47,77,False,0.1
90,121,False,0.1
13,61,False,0.1
62,61,False,0.2
122,29,False,0.1
127,89,False,0.1
22,119,False,0.1
119,24,False,0.1
25,62,False,0.1
91,117,False,0.1
58,77,False,0.1
59,101,False,0.1
19,119,False,0.1
60,125,False,0.1
19,112,False,0.1
54,127,False,0.1
26,123,False,0.1
31,104,False,0.1
95,100,False,0.2
127,57,False,0.3
31,116,False,0.1
95,49,False,0.2
83,125,False,0.1
94,99,False,0.1
94,29,False,0.2
125,24,False,0.1
93,121,False,0.1
91,29,False,0.1
86,95,False,0.1
127,17,False,0.1
91,95,False,0.1
87,112,False,0.1
62,79,False,0.1
89,124,False,0.1
81,57,False,0.1
55,93,False,0.1
125,31,False,0.1
11,116,False,0.1
115,90,False,0.1
77,109,False,0.1
27,79,False,0.1
94,45,False,0.1
125,89,False,0.1
20,93,False,0.1
95,79,False,0.1
58,123,False,0.1
30,59,False,0.1
31,107,False,0.1
123,20,False,0.1
63,62,False,0.2
94,95,False,0.1
15,110,False,0.1
105,62,False,0.1
55,106,False,0.1
29,92,False,0.1
25,119,False,0.1
95,50,False,0.1
30,60,False,0.1
43,79,False,0.1
78,113,False,0.1
123,125,False,0.2
127,64,False,0.1
95,123,False,0.1
