Time,135671
a,b,valid,Percentage_of_results
27,41,False,0.1
91,45,False,0.5
27,75,False,0.3
91,105,False,0.2
43,127,False,0.6
57,123,False,0.4
59,41,False,0.4
31,75,False,0.1
41,127,False,0.2
61,111,False,0.1
125,41,False,0.1
11,123,False,0.3
5,31,False,0.1
35,91,False,0.1
59,105,False,0.2
27,105,False,0.9
15,107,False,0.1
13,109,False,0.1
11,93,False,0.1
29,111,False,0.2
91,33,False,0.1
83,31,False,0.1
57,125,False,0.3
95,29,False,0.2
47,45,False,0.1
29,47,False,0.2
23,57,False,0.2
25,125,False,0.2
25,31,False,0.1
54,63,False,0.1
55,57,False,0.2
31,107,False,0.4
59,43,False,0.9
55,51,False,0.2
127,45,False,0.1
67,107,False,0.1
31,101,False,0.2
31,111,False,0.1
59,111,False,0.6
35,123,False,0.7
59,109,False,0.7
58,127,False,0.2
95,61,False,0.1
43,123,False,0.5
3,77,False,0.1
31,73,False,0.2
59,9,False,0.2
27,97,False,0.4
19,105,False,0.4
49,91,False,0.1
51,61,False,0.1
55,47,False,0.1
35,55,False,0.1
107,43,False,0.2
9,23,False,0.1
47,15,False,0.2
26,111,False,0.3
47,77,False,0.1
79,43,False,0.1
27,124,False,0.1
55,121,False,0.1
57,99,False,0.1
13,125,False,0.2
25,111,False,0.8
25,127,False,0.4
23,107,False,0.2
63,33,False,0.1
29,55,False,0.1
47,123,False,0.2
59,33,False,0.3
51,123,False,0.3
123,63,False,0.3
27,47,False,0.6
47,85,False,0.1
11,111,False,0.5
95,41,False,0.2
37,123,False,0.1
7,121,False,0.1
31,105,False,0.2
35,127,False,0.3
26,125,False,0.1
43,67,False,0.1
115,57,False,0.1
59,59,False,0.5
57,109,False,0.2
51,91,False,0.1
101,121,False,0.1
63,101,False,0.1
111,125,False,0.1
26,107,False,0.5
83,121,False,0.1
33,127,False,0.3
3,43,False,0.1
27,107,False,1.0
15,73,False,0.1
23,127,False,0.1
27,109,False,1.1
71,59,False,0.1
17,63,False,0.1
31,109,False,0.3
75,43,False,0.1
61,59,False,0.3
123,59,False,0.1
59,85,False,0.1
27,99,False,0.1
59,121,False,0.3
31,47,False,0.3
31,95,False,0.1
91,109,False,0.2
59,94,False,0.1
50,35,False,0.1
33,119,False,0.1
59,99,False,0.4
124,47,False,0.1
27,123,False,0.5
27,111,False,1.3
31,117,False,0.1
111,61,False,0.2
26,41,False,0.2
58,109,False,0.3
55,55,False,0.2
31,91,False,0.2
67,111,False,0.1
27,101,False,0.2
123,13,False,0.1
125,61,False,0.2
57,127,False,0.3
39,115,False,0.1
31,61,False,0.2
21,37,False,0.1
47,47,False,0.2
27,45,False,0.1
49,55,False,0.1
101,95,False,0.1
43,109,False,0.3
3,61,False,0.2
53,35,False,0.1
3,125,False,0.1
31,37,False,0.1
15,61,False,0.2
119,49,False,0.1
63,63,False,0.1
27,79,False,0.4
27,95,False,0.2
17,95,False,0.1
19,125,False,0.2
31,97,False,0.1
87,61,False,0.1
83,105,False,0.1
11,41,False,0.2
23,125,False,0.2
11,109,False,0.6
25,119,False,0.2
31,93,False,0.1
59,125,False,0.9
62,75,False,0.1
47,71,False,0.2
63,61,False,0.1
55,27,False,0.2
22,107,False,0.1
43,105,False,0.1
59,61,False,0.1
91,77,False,0.3
55,37,False,0.1
39,123,False,0.2
91,76,False,0.1
43,91,False,0.1
59,95,False,0.1
27,93,False,0.4
59,37,False,0.1
31,42,False,0.2
57,79,False,0.3
91,57,False,0.2
63,1,False,0.1
43,45,False,0.1
11,75,False,0.2
123,61,False,0.2
59,45,False,0.5
122,5,False,0.1
21,127,False,0.3
23,59,False,0.1
74,41,False,0.1
31,121,False,0.1
83,47,False,0.2
11,11,False,0.1
11,107,False,0.1
25,79,False,0.1
27,125,False,0.3
31,119,False,0.1
61,47,False,0.1
125,39,False,0.1
7,59,False,0.1
59,47,False,0.2
53,123,False,0.1
27,103,False,0.4
31,45,False,0.2
43,107,False,0.5
34,15,False,0.1
91,63,False,0.2
27,43,False,0.1
15,41,False,0.1
9,123,False,0.1
57,55,False,0.1
41,101,False,0.1
57,103,False,0.1
37,119,False,0.1
45,119,False,0.1
43,79,False,0.2
19,123,False,0.4
55,61,False,0.2
26,119,False,0.1
63,67,False,0.1
9,111,False,0.2
27,87,False,0.1
9,127,False,0.1
115,43,False,0.1
59,77,False,0.1
17,127,False,0.5
11,95,False,0.1
59,35,False,0.4
91,59,False,0.1
31,77,False,0.3
41,107,False,0.1
29,13,False,0.1
79,45,False,0.2
27,11,False,0.1
27,108,False,0.1
31,13,False,0.3
10,123,False,0.1
127,13,False,0.1
127,57,False,0.2
123,41,False,0.4
63,107,False,0.2
61,45,False,0.1
11,127,False,0.3
123,21,False,0.1
125,45,False,0.2
51,107,False,0.2
89,109,False,0.2
6,123,False,0.1
91,99,False,0.1
95,45,False,0.2
11,126,False,0.1
19,107,False,0.2
111,37,False,0.2
15,98,False,0.1
123,45,False,0.3
46,127,False,0.1
26,77,False,0.1
7,29,False,0.1
15,79,False,0.1
27,61,False,0.1
107,17,False,0.1
95,17,False,0.1
59,107,False,0.7
47,57,False,0.4
91,42,False,0.1
19,109,False,0.1
25,93,False,0.1
47,55,False,0.1
50,123,False,0.1
127,37,False,0.1
63,51,False,0.1
39,61,False,0.1
35,31,False,0.1
83,95,False,0.1
91,61,False,0.2
23,91,False,0.1
119,41,False,0.2
23,79,False,0.1
41,95,False,0.2
59,102,False,0.1
23,47,False,0.2
51,113,False,0.1
57,35,False,0.1
93,109,False,0.1
2,107,False,0.1
13,93,False,0.1
59,57,False,0.2
21,45,False,0.1
2,111,False,0.1
47,111,False,0.1
127,5,False,0.1
5,99,False,0.1
43,47,False,0.2
19,67,False,0.1
59,63,False,0.2
75,71,False,0.1
13,127,False,0.2
87,111,False,0.1
25,95,False,0.1
27,73,False,0.2
123,15,False,0.1
91,49,False,0.1
30,11,False,0.1
42,63,False,0.1
95,109,False,0.2
54,91,False,0.1
30,43,False,0.1
67,127,False,0.2
24,107,False,0.1
87,59,False,0.1
31,41,False,0.2
127,51,False,0.2
41,63,False,0.2
43,119,False,0.3
91,43,False,0.1
85,63,False,0.2
91,37,False,0.2
31,43,False,0.3
95,77,False,0.2
43,43,False,0.3
123,43,False,0.1
27,91,False,0.2
83,43,False,0.1
25,63,False,0.1
61,95,False,0.1
27,39,False,0.2
31,99,False,0.1
77,63,False,0.1
17,45,False,0.1
111,107,False,0.1
127,11,False,0.1
32,111,False,0.1
29,45,False,0.2
63,125,False,0.1
50,103,False,0.1
97,46,False,0.1
30,123,False,0.1
63,43,False,0.4
27,59,False,0.2
33,123,False,0.1
46,45,False,0.1
127,59,False,0.1
51,58,False,0.1
93,111,False,0.1
109,47,False,0.1
31,63,False,0.2
35,59,False,0.4
43,59,False,0.2
51,39,False,0.1
91,21,False,0.1
29,77,False,0.1
25,110,False,0.1
31,74,False,0.1
57,111,False,0.2
11,37,False,0.1
51,109,False,0.2
49,127,False,0.1
59,119,False,0.2
29,107,False,0.1
40,111,False,0.1
33,63,False,0.1
121,101,False,0.1
95,53,False,0.1
51,103,False,0.1
83,109,False,0.1
27,117,False,0.1
31,106,False,0.1
23,43,False,0.2
29,46,False,0.1
11,117,False,0.1
63,9,False,0.1
89,5,False,0.1
81,119,False,0.1
39,57,False,0.2
99,125,False,0.1
123,81,False,0.1
107,63,False,0.1
27,63,False,0.1
103,61,False,0.1
7,125,False,0.1
119,61,False,0.2
123,17,False,0.1
16,127,False,0.1
93,124,False,0.1
25,118,False,0.1
58,119,False,0.1
57,95,False,0.1
95,79,False,0.1
15,46,False,0.1
26,127,False,0.1
51,59,False,0.1
77,111,False,0.1
43,111,False,0.2
63,79,False,0.1
59,115,False,0.1
25,47,False,0.1
31,79,False,0.2
59,79,False,0.4
59,123,False,0.4
7,57,False,0.1
57,45,False,0.2
81,42,False,0.1
39,95,False,0.1
91,127,False,0.2
123,44,False,0.1
45,127,False,0.2
79,57,False,0.1
45,55,False,0.1
37,63,False,0.1
119,47,False,0.1
59,5,False,0.1
35,111,False,0.1
42,115,False,0.1
19,43,False,0.1
39,109,False,0.1
75,109,False,0.1
45,95,False,0.1
57,15,False,0.1
60,121,False,0.1
63,77,False,0.1
27,121,False,0.1
45,29,False,0.1
63,59,False,0.1
55,49,False,0.1
63,23,False,0.1
123,5,False,0.1
63,41,False,0.3
42,59,False,0.1
43,121,False,0.1
22,123,False,0.1
43,61,False,0.1
47,90,False,0.1
83,111,False,0.1
107,61,False,0.1
11,125,False,0.1
39,51,False,0.1
91,75,False,0.2
59,55,False,0.1
113,59,False,0.1
29,79,False,0.1
83,123,False,0.2
79,125,False,0.2
47,115,False,0.1
27,55,False,0.1
35,61,False,0.1
18,127,False,0.1
21,119,False,0.1
37,127,False,0.1
111,57,False,0.1
59,97,False,0.1
7,111,False,0.1
47,53,False,0.2
95,59,False,0.2
39,59,False,0.1
43,101,False,0.1
6,127,False,0.1
75,87,False,0.1
79,105,False,0.1
123,11,False,0.2
20,63,False,0.1
23,123,False,0.2
19,111,False,0.2
107,45,False,0.1
31,85,False,0.1
85,107,False,0.1
47,61,False,0.1
29,44,False,0.1
123,125,False,0.1
11,53,False,0.1
29,85,False,0.1
115,63,False,0.2
27,35,False,0.1
19,75,False,0.1
19,62,False,0.1
61,43,False,0.1
23,62,False,0.1
3,31,False,0.1
19,59,False,0.1
17,126,False,0.1
83,103,False,0.1
63,73,False,0.1
61,107,False,0.1
57,63,False,0.1
31,123,False,0.1
47,81,False,0.1
63,75,False,0.1
17,125,False,0.1
31,51,False,0.1
27,46,False,0.1
127,65,False,0.1
55,113,False,0.1
26,123,False,0.2
29,123,False,0.2
13,111,False,0.1
27,127,False,0.4
25,39,False,0.1
89,61,False,0.1
77,53,False,0.1
55,59,False,0.1
47,63,False,0.2
51,63,False,0.1
63,45,False,0.1
59,106,False,0.1
91,46,False,0.1
5,127,False,0.1
91,11,False,0.1
7,61,False,0.1
11,61,False,0.1
91,91,False,0.1
25,122,False,0.1
15,81,False,0.1
31,59,False,0.1
42,89,False,0.1
31,23,False,0.1
49,119,False,0.1
45,101,False,0.1
57,117,False,0.1
41,123,False,0.1
23,111,False,0.2
15,127,False,0.1
15,122,False,0.1
30,47,False,0.1
19,47,False,0.2
56,31,False,0.1
55,75,False,0.1
55,107,False,0.1
127,33,False,0.1
41,125,False,0.1
55,119,False,0.1
31,110,False,0.2
27,37,False,0.1
89,29,False,0.1
41,111,False,0.1
29,127,False,0.1
56,95,False,0.1
39,111,False,0.1
31,11,False,0.1
127,125,False,0.1
59,67,False,0.2
63,87,False,0.1
19,95,False,0.1
13,47,False,0.1
91,87,False,0.2
53,121,False,0.1
121,105,False,0.1
14,107,False,0.1
61,77,False,0.1
95,49,False,0.2
67,59,False,0.1
63,42,False,0.1
63,21,False,0.1
75,61,False,0.1
97,121,False,0.1
59,87,False,0.1
74,107,False,0.1
59,75,False,0.1
23,109,False,0.1
91,47,False,0.1
89,43,False,0.1
30,121,False,0.1
40,57,False,0.1
59,13,False,0.1
127,9,False,0.1
95,75,False,0.1
123,60,False,0.1
31,25,False,0.1
63,13,False,0.1
6,109,False,0.1
127,53,False,0.1
99,57,False,0.1
7,123,False,0.1
47,107,False,0.1
75,125,False,0.2
43,63,False,0.1
30,7,False,0.1
27,119,False,0.1
63,123,False,0.1
57,69,False,0.1
95,97,False,0.1
107,115,False,0.1
7,42,False,0.1
79,47,False,0.1
47,25,False,0.1
71,113,False,0.1
107,59,False,0.1
23,63,False,0.1
91,111,False,0.1
59,127,False,0.2
43,71,False,0.1
11,122,False,0.1
123,65,False,0.1
51,99,False,0.1
89,79,False,0.1
123,101,False,0.1
43,99,False,0.1
81,57,False,0.1
30,107,False,0.1
13,97,False,0.1
22,121,False,0.1
79,63,False,0.2
59,101,False,0.1
63,122,False,0.1
31,71,False,0.1
91,121,False,0.1
91,39,False,0.1
19,127,False,0.1
56,111,False,0.1
22,61,False,0.1
62,51,False,0.1
13,62,False,0.1
27,57,False,0.1
63,109,False,0.1
63,37,False,0.1
75,99,False,0.1
11,63,False,0.2
94,107,False,0.1
38,123,False,0.2
107,75,False,0.1
26,75,False,0.1
121,65,False,0.1
55,63,False,0.1
75,115,False,0.1
95,38,False,0.1
121,52,False,0.1
59,46,False,0.1
29,125,False,0.1
91,7,False,0.1
123,75,False,0.1
91,53,False,0.1
39,107,False,0.1
73,111,False,0.1
121,61,False,0.1
3,123,False,0.1
7,47,False,0.1
99,55,False,0.1
127,43,False,0.1
81,125,False,0.1
15,47,False,0.1
95,42,False,0.1
63,5,False,0.1
44,45,False,0.1
