Time,250069
a,b,valid,Percentage_of_results
11,39,False,0.6
27,3,False,0.1
5,63,False,1.2
41,7,False,0.1
11,15,False,0.1
7,11,False,0.1
35,43,False,0.9
41,15,False,0.1
47,11,False,1.1
9,47,False,0.3
7,43,False,0.6
27,15,False,0.2
19,63,False,0.7
39,43,False,1.5
3,47,False,1.0
15,27,False,0.2
7,45,False,0.1
27,38,False,0.2
7,47,False,0.9
63,9,False,0.9
35,39,False,0.4
3,61,False,0.4
1,53,False,0.1
19,39,False,0.5
47,55,False,0.1
3,45,False,0.8
55,11,False,0.5
19,35,False,0.2
23,47,False,0.7
27,45,False,0.8
15,30,False,0.2
19,37,False,0.2
9,63,False,0.4
25,47,False,0.4
15,35,False,0.4
7,59,False,1.1
15,19,False,0.1
43,39,False,0.5
11,47,False,1.4
63,11,False,1.0
35,47,False,0.9
13,63,False,0.6
13,59,False,0.3
47,15,False,0.5
33,39,False,0.2
15,11,False,0.1
39,51,False,0.2
1,63,False,0.6
7,57,False,0.3
31,35,False,0.7
5,59,False,0.4
15,43,False,0.4
15,59,False,1.3
39,39,False,0.4
11,63,False,0.8
27,47,False,0.8
19,47,False,1.2
31,43,False,1.1
63,3,False,0.3
31,39,False,0.4
37,63,False,0.1
37,15,False,0.1
57,2,False,0.1
3,58,False,0.1
17,39,False,0.2
25,7,False,0.1
23,9,False,0.1
15,63,False,1.3
1,47,False,0.3
13,39,False,0.1
19,40,False,0.1
63,35,False,0.7
31,11,False,0.1
63,39,False,0.5
59,11,False,0.7
22,11,False,0.1
31,47,False,1.4
3,43,False,0.3
3,39,False,0.4
5,31,False,0.3
15,15,False,0.1
59,7,False,0.2
11,45,False,0.4
31,57,False,0.2
39,35,False,0.6
7,63,False,1.5
43,46,False,0.2
23,39,False,0.3
31,59,False,0.3
51,39,False,0.2
47,13,False,0.1
51,41,False,0.3
9,55,False,0.1
7,61,False,0.4
13,43,False,0.1
13,47,False,0.2
43,43,False,0.8
45,27,False,0.3
17,63,False,0.1
23,41,False,0.5
43,47,False,0.8
39,11,False,0.2
37,43,False,0.2
51,47,False,0.6
59,41,False,0.4
45,31,False,0.2
23,43,False,1.1
9,15,False,0.1
7,58,False,0.2
1,39,False,0.1
15,13,False,0.1
17,47,False,0.5
19,45,False,0.2
57,63,False,0.1
13,23,True,0.1
11,43,False,0.2
61,31,False,0.2
3,59,False,0.1
55,35,False,0.6
15,23,False,0.1
31,63,False,0.2
21,63,False,0.6
59,9,False,0.2
29,59,False,0.2
35,55,False,0.1
33,47,False,0.1
59,43,False,1.1
47,42,False,0.1
47,47,False,0.3
43,35,False,0.5
35,35,False,0.4
19,13,False,0.1
47,59,False,0.4
15,54,False,0.2
21,7,False,0.1
55,42,False,0.1
31,34,False,0.2
31,21,False,0.1
11,59,False,0.2
31,15,False,0.3
31,29,False,0.2
39,3,False,0.1
15,55,False,0.4
37,27,False,0.1
31,6,False,0.1
63,37,False,0.2
3,33,False,0.1
21,43,False,0.2
45,3,False,0.1
59,45,False,0.2
1,55,False,0.1
3,63,False,0.5
11,46,False,0.2
31,1,False,0.1
31,61,False,0.1
47,35,False,1.0
27,39,False,0.4
59,39,False,0.2
15,31,False,0.3
27,19,False,0.1
13,38,False,0.1
39,15,False,0.1
63,47,False,0.2
55,27,False,0.3
31,58,False,0.1
27,11,False,0.1
31,41,False,0.3
59,47,False,0.5
21,55,False,0.2
55,1,False,0.1
41,55,False,0.2
5,47,False,0.2
19,51,False,0.1
13,50,False,0.1
5,39,False,0.1
15,39,False,0.6
61,15,False,0.2
59,33,False,0.1
31,45,False,0.3
13,30,False,0.1
11,61,False,0.1
7,31,False,0.1
37,31,False,0.1
45,11,False,0.1
47,37,False,0.1
43,33,False,0.2
41,59,False,0.1
29,47,False,0.2
19,41,False,0.2
59,6,False,0.1
7,55,False,0.3
63,10,False,0.3
39,59,False,0.4
31,51,False,0.1
27,7,False,0.1
39,25,False,0.2
63,19,False,0.2
27,43,False,0.2
5,55,False,0.5
29,43,False,0.2
3,35,False,0.1
59,15,False,0.1
23,55,False,0.1
11,55,False,0.1
45,23,False,0.2
61,35,False,0.2
19,62,False,0.1
47,39,False,0.3
29,27,False,0.1
42,39,False,0.1
31,42,False,0.1
63,43,False,0.8
55,45,False,0.1
39,41,False,0.2
23,31,False,0.1
15,61,False,0.4
39,57,False,0.1
27,37,False,0.4
33,63,False,0.1
55,43,False,0.8
21,47,False,0.2
35,59,False,0.3
41,39,False,0.1
51,43,False,0.9
47,25,False,0.1
25,43,False,0.1
1,61,False,0.1
39,30,False,0.1
53,15,False,0.1
35,31,False,0.1
5,62,False,0.1
29,63,False,0.4
63,41,False,0.3
39,27,False,0.2
47,16,False,0.1
15,47,False,0.6
25,63,False,0.3
19,42,False,0.1
61,39,False,0.1
39,33,False,0.2
47,27,False,0.3
15,57,False,0.1
47,43,False,1.1
55,9,False,0.3
43,38,False,0.3
38,59,False,0.1
27,46,False,0.1
51,35,False,0.4
47,31,False,0.3
63,15,False,0.3
47,3,False,0.1
59,38,False,0.2
37,37,False,0.1
41,38,False,0.1
15,58,False,0.1
29,55,False,0.1
47,34,False,0.1
47,19,False,0.2
55,3,False,0.1
59,2,False,0.1
63,1,False,0.2
13,62,False,0.2
23,61,False,0.1
55,39,False,0.2
11,51,False,0.1
15,22,False,0.1
29,51,False,0.1
13,57,False,0.1
27,59,False,0.1
55,33,False,0.2
51,7,False,0.1
47,17,False,0.1
29,6,False,0.1
31,38,False,0.2
25,59,False,0.1
33,43,False,0.1
15,46,False,0.1
57,38,False,0.1
63,45,False,0.1
19,43,False,0.2
7,41,False,0.2
1,62,False,0.1
63,27,False,0.2
47,61,False,0.1
63,46,False,0.1
23,63,False,0.3
23,62,False,0.1
21,59,False,0.2
45,63,False,0.1
63,25,False,0.2
37,49,False,0.1
59,42,False,0.2
39,63,False,0.3
63,5,False,0.2
11,35,False,0.2
13,26,False,0.1
19,57,False,0.1
51,37,False,0.1
31,7,False,0.1
47,63,False,0.1
47,33,False,0.1
53,35,False,0.1
53,45,False,0.1
27,63,False,0.2
15,42,False,0.1
55,37,False,0.2
37,55,False,0.1
59,5,False,0.1
47,49,False,0.1
53,43,False,0.2
43,55,False,0.1
23,38,False,0.1
45,47,False,0.1
45,7,False,0.2
7,53,False,0.1
53,55,False,0.1
15,62,False,0.1
63,50,False,0.2
25,39,False,0.1
59,3,False,0.1
7,26,False,0.1
31,37,False,0.1
51,11,False,0.1
57,35,False,0.1
23,60,False,0.1
53,23,False,0.1
63,31,False,0.2
7,39,False,0.1
11,60,False,0.1
23,57,False,0.1
35,63,False,0.2
63,34,False,0.2
55,41,False,0.3
7,42,False,0.1
63,2,False,0.1
43,59,False,0.1
11,41,False,0.1
29,62,False,0.1
23,7,False,0.1
23,35,False,0.1
23,15,False,0.1
15,51,False,0.1
53,47,False,0.2
61,43,False,0.1
39,37,False,0.1
31,62,False,0.1
41,52,False,0.1
13,55,False,0.1
31,25,False,0.2
63,33,False,0.3
39,61,False,0.1
27,35,False,0.1
55,47,False,0.1
57,34,False,0.1
61,42,False,0.1
49,41,False,0.1
31,40,False,0.1
55,46,False,0.1
43,34,False,0.1
47,46,False,0.1
44,31,False,0.1
47,50,False,0.1
47,51,False,0.1
31,13,False,0.1
39,45,False,0.1
29,7,False,0.1
35,42,False,0.1
43,48,False,0.1
31,28,False,0.1
33,62,False,0.1
31,24,False,0.1
31,55,False,0.1
27,56,False,0.1
63,44,False,0.1
23,51,False,0.1
63,51,False,0.2
39,58,False,0.1
27,62,False,0.1
23,59,False,0.1
55,34,False,0.1
55,61,False,0.1
59,34,False,0.1
31,46,False,0.1
18,63,False,0.1
63,59,False,0.1
27,60,False,0.1
